2025-12-10 19:15:40,058 [shrimp_1_code] DEBUG: Successfully entered setup code
2025-12-10 19:15:40,283 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:15:40,283 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:15:40,372 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:15:40,372 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:15:40,470 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:15:40,470 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:15:40,560 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:40,561 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:40,664 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:40,664 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:15:40,770 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:15:40,770 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:40,868 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:40,868 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
2025-12-10 19:15:40,959 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:40,960 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:15:41,065 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:41,065 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:41,162 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:41,162 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:15:41,261 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:41,261 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:15:41,369 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:15:41,369 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:15:41,498 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(3), np.int64(1))
2025-12-10 19:15:41,499 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:15:41,627 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(3), np.int64(1))
2025-12-10 19:15:41,627 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:15:41,688 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(3))
2025-12-10 19:15:41,689 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:15:41,786 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(3))
2025-12-10 19:15:41,786 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:15:41,927 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(3))
2025-12-10 19:15:41,927 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:15:41,984 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(3))
2025-12-10 19:15:41,984 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:42,086 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(3))
2025-12-10 19:15:42,086 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:42,182 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:15:42,182 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:15:42,286 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:15:42,286 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:42,398 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:15:42,398 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:15:42,499 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:15:42,499 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:15:42,576 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:15:42,576 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
2025-12-10 19:16:14,231 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(15))
2025-12-10 19:16:14,231 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:14,371 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(15))
2025-12-10 19:16:14,371 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:14,505 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(15))
2025-12-10 19:16:14,505 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:14,585 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(15))
2025-12-10 19:16:14,586 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:14,683 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:14,683 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:14,746 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:14,746 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:14,864 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:14,864 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:14,931 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:14,931 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:15,124 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:15,124 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
